total_consents,privacy_policy_consents,marketing_consents,f1_channel_consents,kp_channel_consents,gwl_channel_consents,dropoff_count,dropoff_percentage,marketing_consent_percentage,new_users,date
3825,3824,3279,52,362,1898,770,20.130718954248366,85.72549019607844,3047,2025-07-01
1862,1862,1612,37,125,908,433,23.254564983888294,86.57357679914071,1512,2025-07-02
1390,1390,1214,17,108,712,321,23.093525179856115,87.33812949640289,1148,2025-07-03
1226,1226,1100,21,77,656,265,21.61500815660685,89.72267536704732,1038,2025-07-04
1326,1326,1181,29,79,756,283,21.34238310708899,89.06485671191554,1150,2025-07-05
1459,1459,1277,19,86,811,353,24.19465387251542,87.52570253598356,1219,2025-07-06
1292,1291,1116,22,119,593,382,29.566563467492262,86.37770897832817,984,2025-07-07
1422,1422,1241,32,130,684,387,27.21518987341772,87.27144866385372,1112,2025-07-08
1555,1555,1398,16,91,899,332,21.35048231511254,89.90353697749197,1342,2025-07-09
1288,1288,1163,22,90,757,251,19.487577639751553,90.29503105590062,1104,2025-07-10
1041,1041,922,24,81,602,200,19.21229586935639,88.56868395773296,915,2025-07-11
1007,1007,910,17,98,521,253,25.12413108242304,90.3674280039722,831,2025-07-12
1190,1190,1040,18,85,662,259,21.764705882352942,87.39495798319328,1009,2025-07-13
1133,1133,985,28,84,592,241,21.270962047661076,86.93733451015004,972,2025-07-14
908,908,805,20,61,467,216,23.788546255506606,88.65638766519824,765,2025-07-15
979,979,853,27,67,516,215,21.961184882533196,87.12972420837589,834,2025-07-16
1001,1001,873,23,87,533,216,21.578421578421576,87.21278721278722,859,2025-07-17
1057,1056,939,16,69,612,201,19.01608325449385,88.83632923368022,932,2025-07-18
1113,1113,973,10,80,621,212,19.047619047619047,87.42138364779875,962,2025-07-19
1161,1161,1031,14,91,665,232,19.982773471145563,88.80275624461672,1011,2025-07-20
914,914,785,20,90,452,213,23.304157549234137,85.88621444201313,779,2025-07-21
1021,1021,879,39,106,492,247,24.191968658178258,86.09206660137122,842,2025-07-22
