total_consents,privacy_policy_consents,marketing_consents,f1_channel_consents,kp_channel_consents,gwl_channel_consents,dropoff_count,dropoff_percentage,marketing_consent_percentage,new_users,date
433,433,388,69,119,0,210,48.49884526558891,89.60739030023095,173,2025-02-27
598,598,519,93,167,0,305,51.00334448160535,86.78929765886288,243,2025-02-28
612,612,543,56,196,0,335,54.738562091503276,88.72549019607843,232,2025-03-01
599,599,530,64,201,0,334,55.75959933222037,88.48080133555926,243,2025-03-02
588,588,524,61,210,0,317,53.91156462585034,89.1156462585034,247,2025-03-03
488,488,432,40,198,0,250,51.229508196721305,88.52459016393442,247,2025-03-04
542,542,482,44,194,0,304,56.08856088560885,88.92988929889299,232,2025-03-05
482,482,422,44,166,0,272,56.43153526970954,87.55186721991701,184,2025-03-06
473,473,419,34,176,0,263,55.602536997885835,88.58350951374207,191,2025-03-07
497,497,436,33,162,0,302,60.7645875251509,87.72635814889335,163,2025-03-08
494,494,440,44,182,0,268,54.25101214574899,89.06882591093117,193,2025-03-09
408,408,359,34,144,0,230,56.372549019607845,87.99019607843137,137,2025-03-10
393,393,347,34,123,0,236,60.05089058524173,88.29516539440203,137,2025-03-11
461,461,388,39,171,1,250,54.229934924078094,84.1648590021692,160,2025-03-12
417,417,370,25,146,1,245,58.752997601918466,88.72901678657075,146,2025-03-13
413,413,364,35,138,0,240,58.111380145278446,88.13559322033898,146,2025-03-14
510,510,448,47,194,0,269,52.74509803921569,87.84313725490196,190,2025-03-15
456,456,397,61,148,0,247,54.166666666666664,87.06140350877193,173,2025-03-16
371,371,327,32,143,1,195,52.56064690026954,88.14016172506739,145,2025-03-17
435,435,386,31,159,0,245,56.32183908045977,88.73563218390804,171,2025-03-18
334,334,289,28,127,0,179,53.59281437125748,86.52694610778443,128,2025-03-19
346,346,295,30,133,0,183,52.89017341040463,85.26011560693641,131,2025-03-20
323,323,289,25,130,0,168,52.012383900928796,89.47368421052632,139,2025-03-21
384,384,337,17,151,0,216,56.25,87.76041666666666,136,2025-03-22
467,467,406,28,160,1,278,59.52890792291221,86.93790149892934,160,2025-03-23
396,396,320,23,138,0,235,59.34343434343434,80.8080808080808,150,2025-03-24
361,361,305,35,145,1,180,49.86149584487535,84.48753462603878,144,2025-03-25
404,404,346,40,132,0,232,57.42574257425742,85.64356435643565,149,2025-03-26
353,353,305,29,142,0,182,51.55807365439094,86.40226628895185,149,2025-03-27
